bar_name,alcohol_type,brand_name,date,consumed_(ml)
Anderson's Bar,Beer,Budweiser,2023-01-09 10:35:00,159.07
Anderson's Bar,Beer,Budweiser,2023-01-18 19:37:00,238.21
Anderson's Bar,Beer,Budweiser,2023-01-21 18:32:00,303.5
Anderson's Bar,Beer,Budweiser,2023-01-29 11:18:00,238.29
Anderson's Bar,Beer,Budweiser,2023-02-02 15:08:00,225.56
Anderson's Bar,Beer,Budweiser,2023-02-09 21:52:00,482.17
Anderson's Bar,Beer,Budweiser,2023-02-18 17:49:00,0.0
Anderson's Bar,Beer,Budweiser,2023-02-28 19:42:00,471.26
Anderson's Bar,Beer,Budweiser,2023-04-04 11:18:00,139.14
Anderson's Bar,Beer,Budweiser,2023-04-10 11:26:00,466.08
Anderson's Bar,Beer,Budweiser,2023-04-26 12:44:00,119.66
Anderson's Bar,Beer,Budweiser,2023-04-27 10:06:00,532.2
Anderson's Bar,Beer,Budweiser,2023-05-04 19:04:00,111.89
Anderson's Bar,Beer,Budweiser,2023-06-03 11:17:00,127.05
Anderson's Bar,Beer,Budweiser,2023-06-07 14:50:00,178.19
Anderson's Bar,Beer,Budweiser,2023-06-14 19:33:00,362.44
Anderson's Bar,Beer,Budweiser,2023-06-15 10:54:00,231.84
Anderson's Bar,Beer,Budweiser,2023-06-17 18:32:00,339.12
Anderson's Bar,Beer,Budweiser,2023-06-24 21:49:00,246.31
Anderson's Bar,Beer,Budweiser,2023-07-19 12:14:00,558.2
Anderson's Bar,Beer,Budweiser,2023-07-26 20:09:00,376.39
Anderson's Bar,Beer,Budweiser,2023-07-27 14:58:00,536.9
Anderson's Bar,Beer,Budweiser,2023-08-02 19:54:00,485.35
Anderson's Bar,Beer,Budweiser,2023-08-05 18:01:00,574.1
Anderson's Bar,Beer,Budweiser,2023-08-07 15:30:00,189.51
Anderson's Bar,Beer,Budweiser,2023-08-08 17:26:00,113.9
Anderson's Bar,Beer,Budweiser,2023-08-17 16:38:00,232.31
Anderson's Bar,Beer,Budweiser,2023-08-28 20:58:00,403.68
Anderson's Bar,Beer,Budweiser,2023-08-31 16:27:00,426.29
Anderson's Bar,Beer,Budweiser,2023-09-15 17:10:00,420.21
Anderson's Bar,Beer,Budweiser,2023-09-20 15:44:00,466.24
Anderson's Bar,Beer,Budweiser,2023-09-27 10:35:00,145.55
Anderson's Bar,Beer,Budweiser,2023-09-28 11:44:00,161.68
Anderson's Bar,Beer,Budweiser,2023-10-02 12:41:00,0.0
Anderson's Bar,Beer,Budweiser,2023-10-05 19:08:00,0.0
Anderson's Bar,Beer,Budweiser,2023-10-09 16:42:00,0.0
Anderson's Bar,Beer,Budweiser,2023-10-13 11:00:00,0.0
Anderson's Bar,Beer,Budweiser,2023-10-21 22:23:00,0.0
Anderson's Bar,Beer,Budweiser,2023-10-26 13:07:00,0.0
Anderson's Bar,Beer,Budweiser,2023-11-03 11:19:00,0.0
